vehicles,deadline_gain_over_best_baseline_pp,p95_latency_reduction_vs_best_baseline_pct,dt_age_reduction_vs_best_baseline_pct,position_error_reduction_vs_best_baseline_pct
10,12.748148148148154,40.238374405998336,89.60916444436461,96.39869163285071
25,23.55703703703703,28.082801925890223,89.06690840901295,97.38083955205927
50,32.0037037037037,18.064411838687665,82.4818177225665,86.6005898923474
