scheme,vehicles,seed,frames,window_start,events,deadline_success,mean_latency_s,p95_latency_s,mean_dt_age_s,p95_position_error_m,mean_rounds,mean_rejections,mean_tool_calls,mean_planner_ms_proxy,mean_input_tokens_proxy,mean_output_tokens_proxy,deadline_success_safety,deadline_success_cooperative,deadline_success_routine,condition_id,condition,condition_index
Single Domain,25,2031,180,68,4500,0.3211111111111111,1.4151483090333552,4.189245899896393,62.645811581820986,1166.1546111229252,1.0,0.0,1.0,0.0023767107567335996,0.0,0.0,0.0886214442013129,0.3025911286780852,0.5156608097784569,nominal,Nominal,0
Independent Agents,25,2031,180,68,4500,0.7591111111111111,0.2719199643356016,0.39969594919113177,3.83490018733613,93.7900653581819,1.0,0.0,4.0,0.009672688973498426,0.0,0.0,0.10393873085339168,0.8836187966622749,1.0,nominal,Nominal,0
One-Shot LLM,25,2031,180,68,4500,0.6442222222222223,1.5762533016732552,12.25783254038054,6.504369679189371,142.3783492549899,1.0,0.0,0.0,0.022088755316670157,760.0,135.0,0.3161925601750547,0.7035573122529645,0.7700534759358288,nominal,Nominal,0
AAI-CDOS,25,2032,180,38,4500,0.9675555555555555,0.18000078932759125,0.3340717907051338,0.5236291925895064,3.1242564350336246,1.0655555555555556,0.06555555555555556,6.295333333333334,0.013318266816592464,856.2626666666666,90.57222222222222,0.9041850220264317,0.9744493392070485,0.9992435703479576,nominal,Nominal,0
Single Domain,25,2032,180,38,4500,0.4033333333333333,1.0943408759235038,3.5537683330509813,40.37246183416162,735.7488414420895,1.0,0.0,1.0,0.002144021978084412,0.0,0.0,0.07929515418502203,0.392511013215859,0.6444780635400907,nominal,Nominal,0
Independent Agents,25,2032,180,38,4500,0.6935555555555556,0.2931389129040006,0.4625330911964922,5.174799170125144,113.88648563985276,1.0,0.0,4.0,0.009989244119626366,0.0,0.0,0.0605726872246696,0.7682819383259912,1.0,nominal,Nominal,0
One-Shot LLM,25,2032,180,38,4500,0.5911111111111111,1.6272983464613906,11.870956302449729,8.036771951597931,174.63955347637136,1.0,0.0,0.0,0.022509466339316633,760.0,135.0,0.20814977973568283,0.6334801762114537,0.7813918305597579,nominal,Nominal,0
AAI-CDOS,25,2033,180,199,4500,0.9708888888888889,0.1704789490420895,0.3109749864304498,0.505106757504823,2.7857765551270925,1.0584444444444445,0.058444444444444445,6.263111111111111,0.014386266883876588,855.0537777777778,89.96777777777778,0.8984198645598194,0.9821109123434705,0.9992743105950653,nominal,Nominal,0
Single Domain,25,2033,180,199,4500,0.3791111111111111,1.1870206108474965,3.6113327875572603,31.286896983479576,469.73627939680205,1.0,0.0,1.0,0.0025130665033227867,0.0,0.0,0.09706546275395034,0.3644901610017889,0.5841799709724238,nominal,Nominal,0
Independent Agents,25,2033,180,199,4500,0.7364444444444445,0.2796784282588463,0.4371339431596396,4.3415785144074635,107.65096780361027,1.0,0.0,4.0,0.010481555486977514,0.0,0.0,0.08690744920993228,0.8313953488372093,1.0,nominal,Nominal,0
One-Shot LLM,25,2033,180,199,4500,0.6331111111111111,1.5885395798727142,12.084887309636114,7.252678339032771,148.25911089538204,1.0,0.0,0.0,0.023513355447600286,760.0,135.0,0.2708803611738149,0.6806797853309481,0.7888243831640058,nominal,Nominal,0
AAI-CDOS,25,2034,180,67,4500,0.9704444444444444,0.1658289345794246,0.29611756306372505,0.5149758784660704,2.600389663549684,1.0597777777777777,0.05977777777777778,6.269333333333333,0.014839777619474463,855.2804444444445,90.08111111111111,0.9064449064449065,0.9812416257257704,0.9992301770592764,nominal,Nominal,0
Single Domain,25,2034,180,67,4500,0.37444444444444447,1.1695299394201368,3.4903208381168636,37.30662669120362,669.1568011386673,1.0,0.0,1.0,0.002610111246920294,0.0,0.0,0.10395010395010396,0.36578829834747656,0.5896843725943033,nominal,Nominal,0
Independent Agents,25,2034,180,67,4500,0.7315555555555555,0.27635250370147735,0.4103475853221778,4.350381254469254,102.54445935940144,1.0,0.0,4.0,0.011258400071205365,0.0,0.0,0.09043659043659044,0.8512728896828942,1.0,nominal,Nominal,0
One-Shot LLM,25,2034,180,67,4500,0.6651111111111111,1.3077795474513032,11.3399269687437,6.04633149551625,145.85480773252525,1.0,0.0,0.0,0.024790333519275818,760.0,135.0,0.33264033264033266,0.7110317105850826,0.8321785989222479,nominal,Nominal,0
AAI-CDOS,25,2035,180,87,4500,0.9748888888888889,0.16115510754384377,0.29966497370909384,0.4399972424664247,2.4646975819573282,1.0504444444444445,0.050444444444444445,6.227111111111111,0.013613355281348858,853.6937777777778,89.28777777777778,0.9162303664921466,0.9855399909624943,0.9992492492492493,nominal,Nominal,0
Single Domain,25,2035,180,87,4500,0.3228888888888889,1.3619297107538548,3.697424720289596,57.67522801892306,1001.2351058733337,1.0,0.0,1.0,0.0023310446413233876,0.0,0.0,0.09109947643979058,0.30953456845910526,0.5112612612612613,nominal,Nominal,0
Independent Agents,25,2035,180,87,4500,0.7344444444444445,0.27677264103094595,0.41728281301398373,4.112652337160809,99.62835832189508,1.0,0.0,4.0,0.009550622425093833,0.0,0.0,0.10157068062827225,0.8477180298237686,1.0,nominal,Nominal,0
One-Shot LLM,25,2035,180,87,4500,0.6491111111111111,1.4872314904191661,11.74515389666382,6.498522050218152,129.73926287505267,1.0,0.0,0.0,0.022565133184091084,760.0,135.0,0.31204188481675393,0.6963398102123813,0.8123123123123123,nominal,Nominal,0
AAI-CDOS,25,2036,180,20,4500,0.9662222222222222,0.17517239284575786,0.3218013190834385,0.5420559591792398,3.192551447606959,1.068,0.068,6.306222222222222,0.01435217785830092,856.6782222222222,90.78,0.8885383806519453,0.9798811156835848,0.9985315712187959,nominal,Nominal,0
Single Domain,25,2036,180,20,4500,0.37266666666666665,1.1760807490631968,3.550816647555324,42.340112871340516,784.1958475822922,1.0,0.0,1.0,0.002251200073967791,0.0,0.0,0.0946372239747634,0.35893918609967995,0.5888399412628488,nominal,Nominal,0
Independent Agents,25,2036,180,20,4500,0.7228888888888889,0.28204515802226204,0.42478508132359527,4.490626596100103,115.07416788294125,1.0,0.0,4.0,0.01012968899966735,0.0,0.0,0.07045215562565721,0.8340192043895748,1.0,nominal,Nominal,0
One-Shot LLM,25,2036,180,20,4500,0.6228888888888889,1.4100788897719356,11.643093410203479,7.264488444502756,158.4743926907938,1.0,0.0,0.0,0.02356315554223127,760.0,135.0,0.24395373291272346,0.6780978509373571,0.7988252569750367,nominal,Nominal,0
AAI-CDOS,25,2037,180,197,4500,0.98,0.1578611687670727,0.28640680701954563,0.3764528492820513,2.513304689058468,1.04,0.04,6.18,0.014037511085108336,851.9182222222222,88.4,0.9383259911894273,0.9856823266219239,0.9985261606484893,nominal,Nominal,0
Single Domain,25,2037,180,197,4500,0.35844444444444445,1.3187024466914181,3.70487016399954,40.01738624335368,651.7209588133411,1.0,0.0,1.0,0.0030215108999982476,0.0,0.0,0.10572687224669604,0.3436241610738255,0.5519528371407516,nominal,Nominal,0
Independent Agents,25,2037,180,197,4500,0.7553333333333333,0.26807495032796014,0.4058801984463623,3.860860432803771,102.51932088658393,1.0,0.0,4.0,0.013043088806120472,0.0,0.0,0.08480176211453745,0.8796420581655481,0.9992630803242447,nominal,Nominal,0
One-Shot LLM,25,2037,180,197,4500,0.6857777777777778,1.2913921943395876,11.357686393378058,5.744748376165445,125.34846207021111,1.0,0.0,0.0,0.028959755999191355,760.0,135.0,0.355726872246696,0.7302013422818792,0.8334561532792926,nominal,Nominal,0
AAI-CDOS,25,2038,180,136,4500,0.9826666666666667,0.1483274151531977,0.26661064992698824,0.33340163051639665,2.3305447269606465,1.034888888888889,0.034888888888888886,6.157111111111111,0.014045577897276316,851.0493333333334,87.96555555555555,0.9375684556407448,0.9906166219839142,1.0,nominal,Nominal,0
Single Domain,25,2038,180,136,4500,0.31155555555555553,1.5161440021480688,4.383358576497021,54.14062407726315,945.815327889284,1.0,0.0,1.0,0.0024023554805252287,0.0,0.0,0.0963855421686747,0.2957998212689902,0.48332097850259453,nominal,Nominal,0
Independent Agents,25,2038,180,136,4500,0.7684444444444445,0.2647655208588952,0.385227396097562,3.5955541924324663,95.21180147165146,1.0,0.0,4.0,0.012088622244644083,0.0,0.0,0.09419496166484119,0.9039320822162645,1.0,nominal,Nominal,0
One-Shot LLM,25,2038,180,136,4500,0.6748888888888889,1.3897563215633066,11.47231764012912,5.988175536813234,136.78112527813187,1.0,0.0,0.0,0.025553666540266324,760.0,135.0,0.37897042716319823,0.7234137622877569,0.7946627131208303,nominal,Nominal,0
AAI-CDOS,25,2039,180,236,4500,0.9726666666666667,0.1731895996747566,0.3165928257676914,0.47556261493298513,2.8137639709862965,1.055111111111111,0.05511111111111111,6.248222222222222,0.014752777940076258,854.4871111111111,89.68444444444444,0.9144811858608894,0.9791485664639444,1.0,nominal,Nominal,0
Single Domain,25,2039,180,236,4500,0.3884444444444444,1.1008250395230115,3.396083495412424,46.22138836764618,820.8776641620668,1.0,0.0,1.0,0.0023905778976364266,0.0,0.0,0.09692132269099202,0.365768896611642,0.6214988644965935,nominal,Nominal,0
Independent Agents,25,2039,180,236,4500,0.7313333333333333,0.2824930202710455,0.44070696097921636,4.621213451413101,115.25727141128712,1.0,0.0,4.0,0.011660066523796154,0.0,0.0,0.10832383124287344,0.814509122502172,1.0,nominal,Nominal,0
One-Shot LLM,25,2039,180,236,4500,0.6286666666666667,1.5419266924686679,11.984762920036939,7.419761843517759,164.55293280409995,1.0,0.0,0.0,0.02597580033276851,760.0,135.0,0.2394526795895097,0.684622067767159,0.789553368660106,nominal,Nominal,0
AAI-CDOS,25,2040,180,81,4500,0.982,0.15583514697381,0.2908375032761565,0.34875440008908276,2.3181945128839634,1.0366666666666666,0.03666666666666667,6.165333333333334,0.015353710933898887,851.3515555555556,88.11666666666666,0.9496644295302014,0.984119982355536,1.0,nominal,Nominal,0
Single Domain,25,2040,180,81,4500,0.32555555555555554,1.4426696968533714,3.992568944301813,45.87632499290992,701.721934332809,1.0,0.0,1.0,0.0025796445552259684,0.0,0.0,0.09619686800894854,0.30569033965593295,0.5123226288274833,nominal,Nominal,0
Independent Agents,25,2040,180,81,4500,0.7531111111111111,0.27330529659082314,0.40448177399406277,3.8087448636782573,95.41050220124883,1.0,0.0,4.0,0.011419599617107047,0.0,0.0,0.08277404921700224,0.8716365240405822,1.0,nominal,Nominal,0
One-Shot LLM,25,2040,180,81,4500,0.6926666666666667,1.3487130942762295,11.955843894656722,5.5116044389705054,129.02247619163404,1.0,0.0,0.0,0.02600962229512839,760.0,135.0,0.3434004474272931,0.7406263784737539,0.8446601941747572,nominal,Nominal,0
AAI-CDOS,25,2041,180,99,4500,0.9728888888888889,0.16411994955291628,0.3003224919744247,0.4641316393321683,2.68767084154868,1.0542222222222222,0.05422222222222222,6.244,0.01444746672253435,854.336,89.60888888888888,0.9106945975744212,0.9816882536846807,1.0,nominal,Nominal,0
Single Domain,25,2041,180,99,4500,0.37466666666666665,1.2439962561201063,3.690022330500617,34.9628276836873,467.69963376365473,1.0,0.0,1.0,0.0021930004133739406,0.0,0.0,0.0926130099228225,0.3648950424296561,0.5797636632200887,nominal,Nominal,0
Independent Agents,25,2041,180,99,4500,0.7462222222222222,0.27762678831678994,0.41968979809468154,3.9963793214698824,100.1325492482417,1.0,0.0,4.0,0.010298866992040226,0.0,0.0,0.10363836824696802,0.8530594015185351,1.0,nominal,Nominal,0
One-Shot LLM,25,2041,180,99,4500,0.6433333333333333,1.49330530961697,11.381298637083765,6.397362644586211,136.04402961825375,1.0,0.0,0.0,0.023979599833384983,760.0,135.0,0.30099228224917307,0.699866011612327,0.7791728212703102,nominal,Nominal,0
