vehicles,scheme,metric,mean,ci95_halfwidth,seeds,events
10,AAI-CDOS,deadline_success_pct,100.0,0.0,4,24
10,AAI-CDOS,mean_latency_ms,121.46412500000001,11.273240212710645,4,24
10,AAI-CDOS,mean_staleness_ms,121.46412500000001,11.273240212710645,4,24
10,AAI-CDOS,p95_position_error_m,1.5154382499999999,0.2976385843692913,4,24
10,Single Domain,deadline_success_pct,66.66666666666666,37.50022962892658,4,24
10,Single Domain,mean_latency_ms,392.65770833333335,242.47390059946113,4,24
10,Single Domain,mean_staleness_ms,3683.286666666667,3957.1328405985714,4,24
10,Single Domain,p95_position_error_m,15.446089125,34.437496793054294,4,24
10,Independent Agents,deadline_success_pct,50.0,21.650767670933533,4,24
10,Independent Agents,mean_latency_ms,2231.1322083333334,1225.1245904398168,4,24
10,Independent Agents,mean_staleness_ms,5345.283875,2212.0258618191933,4,24
10,Independent Agents,p95_position_error_m,79.610932,62.95288624256834,4,24
10,One-Shot LLM,deadline_success_pct,8.333333333333332,15.309404638011575,4,24
10,One-Shot LLM,mean_latency_ms,3666.773666666667,1111.7420380850372,4,24
10,One-Shot LLM,mean_staleness_ms,11203.231916666666,4651.31799173189,4,24
10,One-Shot LLM,p95_position_error_m,112.67028725,75.26354779444014,4,24
25,AAI-CDOS,deadline_success_pct,91.66666666666669,15.30940463801157,4,24
25,AAI-CDOS,mean_latency_ms,229.23383333333334,196.70867475742324,4,24
25,AAI-CDOS,mean_staleness_ms,1113.2082916666668,1804.306280428297,4,24
25,AAI-CDOS,p95_position_error_m,2.0664756875,0.8384267458089106,4,24
25,Single Domain,deadline_success_pct,70.83333333333334,25.387775474005572,4,24
25,Single Domain,mean_latency_ms,446.6904166666667,195.51451301465173,4,24
25,Single Domain,mean_staleness_ms,3394.6011249999997,2738.451133961863,4,24
25,Single Domain,p95_position_error_m,9.4645606875,7.547543755938993,4,24
25,Independent Agents,deadline_success_pct,66.66666666666666,21.650767670933543,4,24
25,Independent Agents,mean_latency_ms,3584.7055416666662,1952.2872978603743,4,24
25,Independent Agents,mean_staleness_ms,4160.337791666667,2738.686994045685,4,24
25,Independent Agents,p95_position_error_m,54.66457475000001,96.61587057274623,4,24
25,One-Shot LLM,deadline_success_pct,12.499999999999998,25.387775474005558,4,24
25,One-Shot LLM,mean_latency_ms,7763.337916666667,1626.8677302660697,4,24
25,One-Shot LLM,mean_staleness_ms,9882.039125,1474.6903323338877,4,24
25,One-Shot LLM,p95_position_error_m,110.9315435625,79.25082706299179,4,24
50,AAI-CDOS,deadline_success_pct,75.0,34.23286946564445,4,24
50,AAI-CDOS,mean_latency_ms,285.07254166666667,162.76262274106682,4,24
50,AAI-CDOS,mean_staleness_ms,2920.067208333334,3720.165314824062,4,24
50,AAI-CDOS,p95_position_error_m,27.926051374999997,54.257935298811525,4,24
50,Single Domain,deadline_success_pct,50.0,21.650767670933533,4,24
50,Single Domain,mean_latency_ms,515.04725,147.5523102079174,4,24
50,Single Domain,mean_staleness_ms,5629.114416666666,2189.579355365068,4,24
50,Single Domain,p95_position_error_m,76.7955101875,71.37229509398145,4,24
50,Independent Agents,deadline_success_pct,45.83333333333333,13.258333333333336,4,24
50,Independent Agents,mean_latency_ms,8080.685916666666,6757.676457307317,4,24
50,Independent Agents,mean_staleness_ms,6016.213958333333,1492.0239712655682,4,24
50,Independent Agents,p95_position_error_m,75.7415243125,62.837542225120934,4,24
50,One-Shot LLM,deadline_success_pct,12.499999999999998,13.258333333333331,4,24
50,One-Shot LLM,mean_latency_ms,14876.856,7287.2363382343065,4,24
50,One-Shot LLM,mean_staleness_ms,9514.300083333332,1446.4404392043261,4,24
50,One-Shot LLM,p95_position_error_m,107.4077983125,48.376159288465274,4,24
