scheme,vehicles,runs,deadline_success_pct,deadline_success_ci95_pct,p95_position_error_m_mean,p95_position_error_m_ci95
AAI-CDOS,10,30,99.17037037037038,0.11449364382004,1.5287695143404485,0.0685654884294637
AAI-CDOS,25,30,97.27777777777776,0.37324901985353,2.7836028620329265,0.1868081252974266
AAI-CDOS,50,30,89.21592592592593,1.10850331452983,27.23968335642732,8.228019804910188
Independent Agents,10,30,83.91666666666669,0.36764193607396,57.26474031313679,5.566751914035638
Independent Agents,25,30,73.72074074074074,0.9028073348808501,106.27843988028636,4.780435832424671
Independent Agents,50,30,57.21222222222223,1.33454657094083,203.29016828039565,13.858561450464425
One-Shot LLM,10,30,86.42222222222222,0.82549444209647,42.45039187106847,6.658185555681408
One-Shot LLM,25,30,63.76296296296295,1.39469322852157,153.74472349995588,8.98212600973037
One-Shot LLM,50,30,34.17222222222221,1.7927306737716302,533.4262951730974,49.74844537846374
Single Domain,10,30,52.40740740740741,2.14003635461477,312.8197292422923,42.40322258877288
Single Domain,25,30,37.20814814814814,1.6839126805048399,723.3588142740961,75.13439726860001
Single Domain,50,30,25.31148148148148,1.0172480383916,1484.0400834232978,92.5276435306997
