study,value,vehicles,seed,events,deadline_success,mean_latency_s,p95_latency_s,mean_dt_age_s,p95_position_error_m,mean_rounds,mean_rejections,mean_tool_calls,mean_planner_ms_proxy,mean_input_tokens_proxy,mean_output_tokens_proxy,deadline_success_safety,deadline_success_cooperative,deadline_success_routine
mismatch_delay,0.0,10,2026,1800,0.9655555555555555,0.10709947220040891,0.19306624061229652,0.480588685553528,1.851404310174793,1.0,0.0,4.0,0.007983860042360093,0.0,0.0,0.8475452196382429,0.9967105263157895,1.0
mismatch_delay,0.04,10,2026,1800,0.87,0.15772742337172396,0.25629874904600686,1.8104700625499672,40.39364592201462,1.0,0.0,4.0,0.0075677311461832784,0.0,0.0,0.43669250645994834,0.9824561403508771,1.0
mismatch_delay,0.08,10,2026,1800,0.8333333333333334,0.2107149769862462,0.3283721281624496,2.49533841743351,68.11571858237158,1.0,0.0,4.0,0.007543314972685443,0.0,0.0,0.3023255813953488,0.9671052631578947,1.0
mismatch_delay,0.12,10,2026,1800,0.7066666666666667,0.2638595052990217,0.40094093323827246,5.05487464849062,110.58865380689167,1.0,0.0,4.0,0.00749346644928058,0.0,0.0,0.08010335917312661,0.8114035087719298,1.0
negotiation_rounds,1.0,10,2026,1800,0.9922222222222222,0.10609215481763953,0.1926105512596145,0.18642458485857263,1.4806541839470968,1.0,0.0077777777777777776,6.0,0.00957940524030063,843.7955555555556,85.0,0.9689922480620154,0.9978070175438597,1.0
negotiation_rounds,2.0,10,2026,1800,0.9922222222222222,0.10615038559137424,0.19437027609519622,0.18642458485857263,1.4806541839470968,1.0077777777777779,0.0077777777777777776,6.038888888888889,0.00969290966168046,845.1177777777777,85.66111111111111,0.9689922480620154,0.9978070175438597,1.0
negotiation_rounds,3.0,10,2026,1800,0.9922222222222222,0.10615038559137424,0.19437027609519622,0.18642458485857263,1.4806541839470968,1.0155555555555555,0.015555555555555555,6.07,0.009625076264556911,846.44,86.32222222222222,0.9689922480620154,0.9978070175438597,1.0
mismatch_delay,0.0,10,2027,1800,0.9566666666666667,0.115257206924382,0.2229674191908878,0.6165006103453584,1.8049648224382628,1.0,0.0,4.0,0.007531899286227094,0.0,0.0,0.8145161290322581,0.9897025171624714,1.0
mismatch_delay,0.04,10,2027,1800,0.8811111111111111,0.16259211940782936,0.2796963840874706,1.7323502882856299,13.408401022812305,1.0,0.0,4.0,0.007556626417984565,0.0,0.0,0.4731182795698925,0.9794050343249427,1.0
mismatch_delay,0.08,10,2027,1800,0.8205555555555556,0.21175555104760874,0.3463885645149967,2.7534144192779,41.11239234788894,1.0,0.0,4.0,0.0075953805612193215,0.0,0.0,0.260752688172043,0.9450800915331807,1.0
mismatch_delay,0.12,10,2027,1800,0.695,0.26142094572741037,0.4176586414389523,5.423232863801867,99.68604805228894,1.0,0.0,4.0,0.00754691194742918,0.0,0.0,0.06182795698924731,0.7711670480549199,1.0
negotiation_rounds,1.0,10,2027,1800,0.9877777777777778,0.1158415224371937,0.21380182636519193,0.24178496804683694,1.6461693037407588,1.0,0.012222222222222223,6.0,0.00958370381138391,843.7955555555556,85.0,0.9435483870967742,0.9988558352402745,1.0
negotiation_rounds,2.0,10,2027,1800,0.9877777777777778,0.11587144274170896,0.21380182636519193,0.2417592515470452,1.6461693037407588,1.0122222222222221,0.012222222222222223,6.061111111111111,0.009736372416632043,845.8733333333333,86.03888888888889,0.9435483870967742,0.9988558352402745,1.0
negotiation_rounds,3.0,10,2027,1800,0.9877777777777778,0.11587144274170896,0.21380182636519193,0.2417592515470452,1.6461693037407588,1.0244444444444445,0.024444444444444446,6.11,0.009756426119969951,847.9511111111111,87.07777777777778,0.9435483870967742,0.9988558352402745,1.0
mismatch_delay,0.0,10,2028,1800,0.9644444444444444,0.11410717573604481,0.19980560650919912,0.5029485604322878,1.7046018130925669,1.0,0.0,4.0,0.007536812788910336,0.0,0.0,0.8228571428571428,0.9977802441731409,1.0
mismatch_delay,0.04,10,2028,1800,0.8911111111111111,0.15930077999818196,0.25526845172272067,1.524233483629578,24.511141210809726,1.0,0.0,4.0,0.007570161380701595,0.0,0.0,0.4714285714285714,0.9877913429522752,1.0
mismatch_delay,0.08,10,2028,1800,0.8444444444444444,0.20812237427247093,0.3287730389082187,2.237778289997239,48.68905853447506,1.0,0.0,4.0,0.007567899560348855,0.0,0.0,0.2742857142857143,0.9711431742508324,1.0
mismatch_delay,0.12,10,2028,1800,0.7205555555555555,0.2571399453976448,0.40328369246103996,4.6057207990614835,94.638591584779,1.0,0.0,4.0,0.007547328972982036,0.0,0.0,0.11142857142857143,0.7869034406215316,1.0
negotiation_rounds,1.0,10,2028,1800,0.9922222222222222,0.11139069554784264,0.19557549026865229,0.191299596038657,1.4350136243231857,1.0,0.0077777777777777776,6.0,0.009558793519520097,843.7955555555556,85.0,0.96,1.0,1.0
negotiation_rounds,2.0,10,2028,1800,0.9922222222222222,0.11142951948924965,0.19605165323126353,0.191316892846852,1.4350136243231857,1.0077777777777779,0.0077777777777777776,6.038888888888889,0.00967691419646144,845.1177777777777,85.66111111111111,0.96,1.0,1.0
negotiation_rounds,3.0,10,2028,1800,0.9922222222222222,0.11142951948924965,0.19605165323126353,0.191316892846852,1.4350136243231857,1.0155555555555555,0.015555555555555555,6.07,0.009718062356114388,846.44,86.32222222222222,0.96,1.0,1.0
mismatch_delay,0.0,10,2029,1800,0.975,0.09482469437399527,0.1804761953525574,0.3606766328232587,1.4010625275350705,1.0,0.0,4.0,0.007529354447291957,0.0,0.0,0.8807588075880759,0.9988925802879292,1.0
mismatch_delay,0.04,10,2029,1800,0.8933333333333333,0.14677762086086002,0.23412767527662826,1.4304359194332112,9.276857263124926,1.0,0.0,4.0,0.00751419768979152,0.0,0.0,0.4986449864498645,0.9922480620155039,1.0
mismatch_delay,0.08,10,2029,1800,0.8377777777777777,0.20253056784527834,0.3110419248480544,2.382462011887114,52.68559817709388,1.0,0.0,4.0,0.007519181817770004,0.0,0.0,0.25745257452574527,0.9800664451827242,1.0
mismatch_delay,0.12,10,2029,1800,0.7483333333333333,0.2585603841597413,0.38578097199696243,3.859928216795545,92.28254262223611,1.0,0.0,4.0,0.014129196448872486,0.0,0.0,0.05420054200542006,0.884828349944629,1.0
negotiation_rounds,1.0,10,2029,1800,0.9905555555555555,0.09761393730857335,0.1805822017019327,0.1957378489494592,1.369867495591446,1.0,0.009444444444444445,6.0,0.009550670575764444,843.7955555555556,85.0,0.9566395663956639,0.9988925802879292,1.0
negotiation_rounds,2.0,10,2029,1800,0.9905555555555555,0.09759813543286762,0.18024180234790554,0.1957259371132868,1.369867495591446,1.0094444444444444,0.009444444444444445,6.0472222222222225,0.009711138490173552,845.4011111111112,85.80277777777778,0.9566395663956639,0.9988925802879292,1.0
negotiation_rounds,3.0,10,2029,1800,0.9905555555555555,0.09759813543286762,0.18024180234790554,0.1957259371132868,1.369867495591446,1.018888888888889,0.01888888888888889,6.085,0.009732515188968845,847.0066666666667,86.60555555555555,0.9566395663956639,0.9988925802879292,1.0
mismatch_delay,0.0,10,2030,1800,0.9711111111111111,0.1085338074699041,0.20769335725358418,0.4253002536904195,1.6027736799129053,1.0,0.0,4.0,0.007541637039846844,0.0,0.0,0.8580060422960725,0.9945235487404163,1.0
mismatch_delay,0.04,10,2030,1800,0.8922222222222222,0.15539928719992138,0.272409438028075,1.4697449953924742,22.912831405398883,1.0,0.0,4.0,0.007555607137166792,0.0,0.0,0.45317220543806647,0.9857612267250822,1.0
mismatch_delay,0.08,10,2030,1800,0.8411111111111111,0.20406424489669123,0.3410076377562567,2.2766615598974296,51.49885000690276,1.0,0.0,4.0,0.007520176263319122,0.0,0.0,0.25075528700906347,0.9583789704271632,1.0
mismatch_delay,0.12,10,2030,1800,0.7461111111111111,0.25384426054868303,0.4098987538858661,4.0065934608531295,87.11912932354186,1.0,0.0,4.0,0.007542426594429546,0.0,0.0,0.0755287009063444,0.8346111719605696,1.0
negotiation_rounds,1.0,10,2030,1800,0.9927777777777778,0.10899431161345338,0.20059405651376258,0.18415365544759538,1.3908010307671381,1.0,0.007222222222222222,6.0,0.00973746439235078,843.7955555555556,85.0,0.9607250755287009,1.0,1.0
negotiation_rounds,2.0,10,2030,1800,0.9927777777777778,0.10893995039889745,0.20059405651376258,0.1840981078763534,1.3908010307671381,1.0072222222222222,0.007222222222222222,6.036111111111111,0.009667369433575206,845.0233333333333,85.6138888888889,0.9607250755287009,1.0,1.0
negotiation_rounds,3.0,10,2030,1800,0.9927777777777778,0.10893995039889745,0.20059405651376258,0.1840981078763534,1.3908010307671381,1.0144444444444445,0.014444444444444444,6.065,0.00967225396177835,846.2511111111111,86.22777777777777,0.9607250755287009,1.0,1.0
mismatch_delay,0.0,10,2031,1800,0.9894444444444445,0.08627180195666535,0.1488183262979632,0.1953170097915653,1.1516594687647934,1.0,0.0,4.0,0.007532986087931527,0.0,0.0,0.9512195121951219,0.9988962472406181,1.0
mismatch_delay,0.04,10,2031,1800,0.8944444444444445,0.14305146401193347,0.2124101848627322,1.437880904285693,4.637060857273448,1.0,0.0,4.0,0.007554295007139444,0.0,0.0,0.4959349593495935,0.9955849889624724,1.0
mismatch_delay,0.08,10,2031,1800,0.8522222222222222,0.20172759070470275,0.2848111979132497,2.1311197848454935,20.24920146791979,1.0,0.0,4.0,0.007571012764755223,0.0,0.0,0.2981029810298103,0.9922737306843267,1.0
mismatch_delay,0.12,10,2031,1800,0.7555555555555555,0.2606818416310292,0.36285723985940865,3.7053013281021987,73.39925775072594,1.0,0.0,4.0,0.007598403737776809,0.0,0.0,0.03523035230352303,0.9072847682119205,1.0
negotiation_rounds,1.0,10,2031,1800,0.995,0.08722179024823214,0.15208247259211563,0.13907763256571803,1.1823763275127688,1.0,0.005,6.0,0.009643637264768282,843.7955555555556,85.0,0.975609756097561,1.0,1.0
negotiation_rounds,2.0,10,2031,1800,0.995,0.08734677206568285,0.15402232748141664,0.13917548376277353,1.1823763275127688,1.005,0.005,6.025,0.009673931635916233,844.6455555555556,85.425,0.975609756097561,1.0,1.0
