study,value,vehicles,runs,deadline_success_mean,deadline_success_ci95,p95_latency_s_mean,p95_latency_s_ci95,mean_dt_age_s_mean,mean_dt_age_s_ci95
mismatch_delay,0.0,10,30,0.970111111111111,0.004144688723502607,0.19340774201450756,0.007898186230011659,0.4359897132485463,0.052342411678749916
mismatch_delay,0.0,25,30,0.8766814814814816,0.008175613072741334,0.2987711055437791,0.010096865070520168,1.7594134481237762,0.1269652986094382
mismatch_delay,0.0,50,30,0.7590185185185184,0.011968080047986104,0.4555438175828518,0.013923086785119044,4.01224162263228,0.2824258152043916
mismatch_delay,0.04,10,30,0.8861666666666667,0.0035709625243569667,0.25309215827690046,0.007492035503187001,1.5730002269100873,0.05555410833636204
mismatch_delay,0.04,25,30,0.7980666666666667,0.005896050446109011,0.3586304321004809,0.010301533964454511,3.0175817878648625,0.11505930650995881
mismatch_delay,0.04,50,30,0.6800222222222222,0.012653677520853751,0.5132137377147513,0.01476303285877301,5.862614282017284,0.3968228388159351
mismatch_delay,0.08,10,30,0.8391666666666668,0.0036764193607396033,0.3225416855836494,0.00616076122052666,2.329336654625149,0.06116423669842848
mismatch_delay,0.08,25,30,0.7372074074074073,0.009028073348808525,0.4260349110419243,0.010515220207061263,4.278369974121364,0.2110483820639167
mismatch_delay,0.08,50,30,0.5721222222222223,0.013345465709408321,0.5747060039085006,0.01444615430667613,9.660495916334984,0.5540264418005079
mismatch_delay,0.12,10,30,0.7375185185185186,0.006765294429837313,0.39591535752689555,0.005491301198307447,4.180660260106667,0.17351412607233246
mismatch_delay,0.12,25,30,0.5687777777777777,0.005909297806164555,0.497134994255198,0.010432235569677975,9.34062299099515,0.2410821933357736
mismatch_delay,0.12,50,30,0.42031851851851854,0.004510678749116421,0.6396423901106271,0.014422568457284847,16.987484793343306,0.29830262410822844
negotiation_rounds,1.0,10,30,0.991685185185185,0.0011408224166743256,0.1923016239667729,0.006809984186082988,0.19329567191427002,0.01476376155183394
negotiation_rounds,1.0,25,30,0.9722666666666668,0.003736848783343105,0.3047855313981333,0.010725967632546796,0.4737986716552144,0.047346743723896925
negotiation_rounds,1.0,50,30,0.8881629629629629,0.01136657248303175,0.459750491218447,0.0137520753580663,1.7619083753783633,0.19025842396749515
negotiation_rounds,2.0,10,30,0.9917037037037036,0.0011449364382004126,0.19275615452308262,0.006762632897764211,0.19311604623639073,0.014774737397752112
negotiation_rounds,2.0,25,30,0.9727777777777777,0.0037324901985353698,0.30639237083887816,0.011657149834361419,0.4677581078719775,0.0469929843666256
negotiation_rounds,2.0,50,30,0.8921592592592593,0.011085033145298375,0.47088874450080465,0.017549839722014217,1.692343283527581,0.18095065439949026
negotiation_rounds,3.0,10,30,0.9917037037037036,0.0011449364382004126,0.19275615452308262,0.006762632897764211,0.19311604623639073,0.014774737397752112
negotiation_rounds,3.0,25,30,0.9727777777777777,0.0037324901985353698,0.30639237083887816,0.011657149834361419,0.4677581078719775,0.0469929843666256
negotiation_rounds,3.0,50,30,0.8921592592592593,0.011085033145298375,0.47088874450080465,0.017549839722014217,1.692343283527581,0.18095065439949026
