event_id,vehicles,seed,frame,task_class,scheme,access,compute,deadline_ms,dt_update_latency_ms,tx_ms,path_ms,queue_ms,service_ms,deadline_met,dt_age_ms,position_error_m,rounds,rejections,verifier_accepted,fallback,proposal_conflict,decision_wall_ms,tool_calls,api_calls,input_tokens,output_tokens,sum_api_latency_ms
n25_s2029_e1,25,2029,6,safety,Single Domain,leo,sat0,150.0,52.278,22.125,29.048,0.0,1.104,True,52.278,0.262855,1,0,False,False,False,852.441,1,1,266,19,852.307
n25_s2029_e2,25,2029,31,cooperative,AAI-CDOS,uav,sat0,350.0,68.986,2.029,27.598,38.345,1.015,True,68.986,0.102074,1,0,True,False,False,2686.914,6,4,1821,89,4566.166
n25_s2029_e2,25,2029,31,cooperative,Independent Agents,uav,sat0,350.0,68.986,2.029,27.598,38.345,1.015,True,68.986,0.102074,1,0,False,False,True,1816.026,3,3,1036,61,4133.945
n25_s2029_e2,25,2029,31,cooperative,One-Shot LLM,ground,ground0,350.0,292.174,194.132,7.394,70.345,20.303,True,292.174,0.432308,1,0,False,False,False,1008.235,0,1,571,21,1008.065
n25_s2029_e2,25,2029,31,cooperative,Single Domain,uav,uav3,350.0,687.193,2.029,8.394,0.0,676.77,False,10601.681,15.686532,1,0,False,False,False,1001.494,1,1,263,20,1001.362
n25_s2029_e3,25,2029,31,cooperative,AAI-CDOS,leo,sat0,350.0,115.361,38.08,25.844,50.479,0.957,True,115.361,1.667204,1,0,True,False,False,2205.308,6,4,1971,89,4019.657
n25_s2029_e3,25,2029,31,cooperative,Independent Agents,leo,sat0,350.0,115.361,38.08,25.844,50.479,0.957,True,115.361,1.667204,1,0,False,False,True,890.675,3,3,1089,60,2583.477
n25_s2029_e3,25,2029,31,cooperative,One-Shot LLM,ground,ground0,350.0,10194.399,10099.276,5.641,70.345,19.137,False,10685.194,154.423092,1,0,False,False,False,996.568,0,1,575,21,996.382
n25_s2029_e3,25,2029,31,cooperative,Single Domain,leo,sat0,350.0,115.361,38.08,25.844,50.479,0.957,True,115.361,1.667204,1,0,False,False,False,845.284,1,1,267,19,845.154
n25_s2029_e4,25,2029,81,routine,AAI-CDOS,ground,ground0,1000.0,963.344,791.393,4.005,149.932,18.014,True,963.344,1.177659,1,0,True,False,False,1922.076,6,4,2108,91,3557.407
n25_s2029_e4,25,2029,81,routine,Independent Agents,ground,ground0,1000.0,963.344,791.393,4.005,149.932,18.014,True,963.344,1.177659,1,0,False,False,True,972.827,3,3,1134,63,2717.128
n25_s2029_e4,25,2029,81,routine,One-Shot LLM,ground,ground0,1000.0,963.344,791.393,4.005,149.932,18.014,True,963.344,1.177659,1,0,False,False,False,3324.89,0,1,572,21,3324.724
n25_s2029_e4,25,2029,81,routine,Single Domain,uav,uav1,1000.0,611.197,5.736,5.005,0.0,600.457,True,611.197,0.74717,1,0,False,False,False,844.689,1,1,264,20,844.565
n25_s2029_e5,25,2029,114,routine,AAI-CDOS,leo,sat0,1000.0,228.509,46.951,25.82,154.569,1.169,True,228.509,0.041994,1,0,True,False,False,2724.705,6,4,2253,90,4364.405
n25_s2029_e5,25,2029,114,routine,Independent Agents,ground,ground1,1000.0,21048.013,20876.081,5.617,142.94,23.375,False,21388.344,3.930611,1,0,False,False,True,1067.378,3,3,1183,62,2811.453
n25_s2029_e5,25,2029,114,routine,One-Shot LLM,ground,ground1,1000.0,21048.013,20876.081,5.617,142.94,23.375,False,21388.344,3.930611,1,0,False,False,False,1191.736,0,1,575,21,1191.564
n25_s2029_e5,25,2029,114,routine,Single Domain,leo,sat0,1000.0,228.509,46.951,25.82,154.569,1.169,True,228.509,0.041994,1,0,False,False,False,1066.875,1,1,267,19,1066.723
n25_s2029_e6,25,2029,132,safety,AAI-CDOS,leo,sat0,150.0,162.396,17.896,27.642,115.895,0.964,False,10891.281,0.450986,3,3,False,True,False,6289.99,14,12,8618,271,11703.898
n25_s2029_e6,25,2029,132,safety,Independent Agents,ground,ground1,150.0,7484.738,7458.029,7.438,0.0,19.271,False,10891.281,0.450986,1,0,False,False,True,1060.785,3,3,1228,60,2641.087
n25_s2029_e6,25,2029,132,safety,One-Shot LLM,ground,ground1,150.0,7484.738,7458.029,7.438,0.0,19.271,False,10891.281,0.450986,1,0,False,False,False,970.305,0,1,575,21,970.116
n25_s2029_e6,25,2029,132,safety,Single Domain,leo,sat0,150.0,162.396,17.896,27.642,115.895,0.964,False,10891.281,0.450986,1,0,False,False,False,741.621,1,1,267,19,741.443
n50_s2026_e1,50,2026,25,safety,AAI-CDOS,leo,sat0,150.0,107.714,41.014,26.39,39.191,1.119,True,107.714,0.924063,1,0,True,False,False,1890.798,6,4,1683,88,3567.223
n50_s2026_e1,50,2026,25,safety,Independent Agents,ground,ground0,150.0,17352.282,17323.714,6.187,0.0,22.382,False,10644.391,91.316715,1,0,False,False,True,1121.826,3,3,989,60,2833.574
