scheme,vehicles,seed,frames,window_start,events,deadline_success,mean_latency_s,p95_latency_s,mean_dt_age_s,p95_position_error_m,mean_rounds,mean_rejections,mean_tool_calls,mean_planner_ms_proxy,mean_input_tokens_proxy,mean_output_tokens_proxy,deadline_success_safety,deadline_success_cooperative,deadline_success_routine
Single Domain,10,2032,180,190,1800,0.5244444444444445,0.6706522712558832,2.0882707313238678,11.590197107719186,181.07443479334384,1.0,0.0,1.0,0.0016036342519025009,0.0,0.0,0.3232876712328767,0.4428251121076233,0.7937384898710865
Independent Agents,10,2032,180,190,1800,0.8355555555555556,0.2069772469888537,0.3164921658760048,2.3372049384831572,32.07800920565331,1.0,0.0,4.0,0.007707313375754489,0.0,0.0,0.2410958904109589,0.9786995515695067,1.0
One-Shot LLM,10,2032,180,190,1800,0.8755555555555555,0.35397167721451056,0.9469694640401315,1.6344984766491182,10.806370747016901,1.0,0.0,0.0,0.018513731451498136,760.0,135.0,0.663013698630137,0.9136771300448431,0.9558011049723757
AAI-CDOS,10,2033,180,43,1800,0.9855555555555555,0.12000334971703681,0.23977382249899423,0.2741621109395298,1.8152909590509387,1.028888888888889,0.028888888888888888,6.13,0.009843251771397062,848.7066666666667,87.45555555555555,0.9376770538243626,0.9955947136563876,1.0
Single Domain,10,2033,180,43,1800,0.6294444444444445,0.5126554346711244,1.6198873624960017,10.488402113180443,205.30414180733666,1.0,0.0,1.0,0.001581183945139249,0.0,0.0,0.34844192634560905,0.5903083700440529,0.8794063079777366
Independent Agents,10,2033,180,43,1800,0.835,0.20712656822414993,0.35419516785950245,2.383130416428516,68.58790376753753,1.0,0.0,4.0,0.007694387653221686,0.0,0.0,0.3087818696883853,0.9416299559471366,1.0
One-Shot LLM,10,2033,180,43,1800,0.8322222222222222,0.5139863084399281,4.712117133341922,2.4460187498551127,60.70579913703596,1.0,0.0,0.0,0.018398734068291053,760.0,135.0,0.5524079320113314,0.8799559471365639,0.935064935064935
AAI-CDOS,10,2034,180,139,1800,0.9938888888888889,0.09870896396148485,0.18289262526693534,0.16208268594427747,1.451819334578814,1.0122222222222221,0.012222222222222223,6.055,0.009880629368126392,845.8733333333333,86.03888888888889,0.9734748010610079,0.9988584474885844,1.0
Single Domain,10,2034,180,139,1800,0.45166666666666666,0.860732476862517,2.7607826848801094,32.40787610618137,600.2203355863588,1.0,0.0,1.0,0.0030246956480873954,0.0,0.0,0.2917771883289125,0.3527397260273973,0.720292504570384
Independent Agents,10,2034,180,139,1800,0.8372222222222222,0.2038409104628264,0.32026609936761546,2.4070456889891405,64.87157928308382,1.0,0.0,4.0,0.007780062086466286,0.0,0.0,0.27320954907161804,0.978310502283105,1.0
