scheme,vehicles,seed,frames,window_start,events,deadline_success,mean_latency_s,p95_latency_s,mean_dt_age_s,p95_position_error_m,mean_rounds,mean_rejections,mean_tool_calls,mean_planner_ms_proxy,mean_input_tokens_proxy,mean_output_tokens_proxy,deadline_success_safety,deadline_success_cooperative,deadline_success_routine
AAI-CDOS,10,2053,180,146,1800,0.9955555555555555,0.09766528800502572,0.18221205512908809,0.14433223285910834,1.2898504985418928,1.008888888888889,0.008888888888888889,6.04,0.009697180810487933,845.3066666666666,85.75555555555556,0.9828080229226361,0.9977678571428571,1.0
Single Domain,10,2053,180,146,1800,0.45944444444444443,0.7768453803792058,2.1658837216421847,26.651088288827093,477.63545534817865,1.0,0.0,1.0,0.0016394234262406826,0.0,0.0,0.2979942693409742,0.36941964285714285,0.7063063063063063
Independent Agents,10,2053,180,146,1800,0.8472222222222222,0.20624217184353108,0.31162012730861893,2.1711621088785886,61.08990417001459,1.0,0.0,4.0,0.007747990958806541,0.0,0.0,0.2722063037249284,0.9765625,1.0
One-Shot LLM,10,2053,180,146,1800,0.8738888888888889,0.41851550809292276,4.275207294980823,1.6506601655479451,43.67078192493184,1.0,0.0,0.0,0.018437250206867855,760.0,135.0,0.6876790830945558,0.9107142857142857,0.9315315315315316
AAI-CDOS,10,2054,180,105,1800,0.9966666666666667,0.09161052704738441,0.16797120104689217,0.1263958124979428,1.5145581284786909,1.0066666666666666,0.006666666666666667,6.03,0.009726552137484154,844.9288888888889,85.56666666666666,0.9843342036553525,1.0,1.0
Single Domain,10,2054,180,105,1800,0.42,0.8384653444608928,2.2038414220337734,26.229324385846372,526.2933286935769,1.0,0.0,1.0,0.0016422153243588076,0.0,0.0,0.2506527415143603,0.32918552036199095,0.6923076923076923
Independent Agents,10,2054,180,105,1800,0.8383333333333334,0.20154584084436497,0.29985496395700595,2.33198316090522,71.7730130120884,1.0,0.0,4.0,0.007694270203096999,0.0,0.0,0.2898172323759791,0.9785067873303167,1.0
One-Shot LLM,10,2054,180,105,1800,0.8916666666666667,0.3148170988808279,0.8081239148476325,1.4757476720905933,51.685867750451585,1.0,0.0,0.0,0.01835860053284301,760.0,135.0,0.7284595300261096,0.918552036199095,0.9643527204502814
AAI-CDOS,10,2055,180,241,1800,0.9911111111111112,0.11093967953185965,0.21597771825156162,0.222778069104472,1.6819654542102436,1.0177777777777777,0.017777777777777778,6.08,0.009810027873350514,846.8177777777778,86.5111111111111,0.9584415584415584,1.0,1.0
Single Domain,10,2055,180,241,1800,0.5577777777777778,0.6475578687657293,2.129309126753412,14.491743788667783,153.17306270827152,1.0,0.0,1.0,0.0016048470408552224,0.0,0.0,0.34805194805194806,0.5132450331125827,0.7956777996070727
Independent Agents,10,2055,180,241,1800,0.8294444444444444,0.20666798181975746,0.35034458450696265,2.5061051863828214,49.73990053409486,1.0,0.0,4.0,0.007710487633529637,0.0,0.0,0.33766233766233766,0.9426048565121413,1.0
One-Shot LLM,10,2055,180,241,1800,0.8561111111111112,0.4390851461002137,4.502855059104067,1.9091273960130841,38.494805243484166,1.0,0.0,0.0,0.018428393846584692,760.0,135.0,0.6727272727272727,0.891832229580574,0.931237721021611
AAI-CDOS,25,2026,180,108,4500,0.9862222222222222,0.14688356465613667,0.2655232327987507,0.308647064340239,2.430321789408389,1.0275555555555556,0.027555555555555555,6.124,0.009972394651008977,849.8026666666667,87.34222222222222,0.9532608695652174,0.9915442812639075,1.0
Single Domain,25,2026,180,108,4500,0.31466666666666665,1.4042660483588487,3.82867810892933,46.090386510057705,824.2862785015543,1.0,0.0,1.0,0.0016420090364085303,0.0,0.0,0.09021739130434783,0.3030707610146863,0.4891222805701425
Independent Agents,25,2026,180,108,4500,0.7608888888888888,0.26626174543367864,0.3957878917367231,3.700198502047217,105.6736287538417,1.0,0.0,4.0,0.007627695902354187,0.0,0.0,0.09891304347826087,0.8900756564307967,1.0
One-Shot LLM,25,2026,180,108,4500,0.7171111111111111,0.9938834149873821,6.0499542960636,4.8648216673853755,132.1814246512969,1.0,0.0,0.0,0.0184123528500398,760.0,135.0,0.36630434782608695,0.7712505562972852,0.867966991747937
AAI-CDOS,25,2027,180,193,4500,0.9695555555555555,0.17097854773016377,0.3205832777242821,0.5176903073160352,2.7311539103281612,1.0615555555555556,0.06155555555555556,6.277333333333333,0.01028108224272728,855.5826666666667,90.23222222222222,0.9063545150501672,0.9780662488809311,0.9970781592403214
Single Domain,25,2027,180,193,4500,0.37844444444444447,1.153853028712463,3.4773113398157824,39.72892351531325,683.5053266045882,1.0,0.0,1.0,0.001626032611562146,0.0,0.0,0.0802675585284281,0.3621307072515667,0.6004382761139518
Independent Agents,25,2027,180,193,4500,0.7286666666666667,0.28255363005090844,0.4382222646312998,4.600565177301111,104.52555287688581,1.0,0.0,4.0,0.007761971507635381,0.0,0.0,0.09364548494983277,0.8173679498657117,1.0
One-Shot LLM,25,2027,180,193,4500,0.624,1.5590063295451897,12.039206724475921,7.347270020321382,141.73857486687206,1.0,0.0,0.0,0.01862648657212655,760.0,135.0,0.2653288740245262,0.666965085049239,0.7888970051132214
AAI-CDOS,25,2028,180,62,4500,0.9604444444444444,0.18109621462675246,0.33908825184365854,0.6161418600672134,3.31651922424585,1.0797777777777777,0.07977777777777778,6.359333333333334,0.010434261419706874,858.6804444444444,91.78111111111112,0.8767441860465116,0.9705494505494505,0.9963369963369964
Single Domain,25,2028,180,62,4500,0.442,1.032580821630269,3.5239041617023026,31.212670093602714,571.1275177861335,1.0,0.0,1.0,0.0016035637300875452,0.0,0.0,0.1,0.432967032967033,0.6725274725274726
Independent Agents,25,2028,180,62,4500,0.7215555555555555,0.2886881707422782,0.4706765715611978,4.784486591171325,128.50725516024775,1.0,0.0,4.0,0.007715512687961261,0.0,0.0,0.08837209302325581,0.7942857142857143,0.9992673992673993
One-Shot LLM,25,2028,180,62,4500,0.6171111111111112,1.7672711221218476,12.434082689627273,7.865833215928499,183.62394684777325,1.0,0.0,0.0,0.018592075858679082,760.0,135.0,0.2569767441860465,0.6685714285714286,0.7582417582417582
AAI-CDOS,25,2029,180,205,4500,0.9731111111111111,0.16779139960059503,0.3160374493012577,0.4733038808687747,2.743851717763079,1.0542222222222222,0.05422222222222222,6.244222222222223,0.010203858320083883,854.336,89.60888888888888,0.9193899782135077,0.9804791481810116,0.9977409638554217
Single Domain,25,2029,180,205,4500,0.3437777777777778,1.3039068337339614,3.7187418307677422,39.14813920513582,705.4856906776048,1.0,0.0,1.0,0.0016405820432636472,0.0,0.0,0.07952069716775599,0.3181011535048802,0.5700301204819277
Independent Agents,25,2029,180,205,4500,0.7177777777777777,0.28262768251010617,0.43744468259911984,4.696690648760488,118.73455357822164,1.0,0.0,4.0,0.007835366038812531,0.0,0.0,0.06862745098039216,0.8158828748890861,1.0
One-Shot LLM,25,2029,180,205,4500,0.6464444444444445,1.3619818008580047,11.383415402089058,6.593573534253089,158.79628268158547,1.0,0.0,0.0,0.018555022465686005,760.0,135.0,0.2777777777777778,0.6881100266193434,0.8305722891566265
AAI-CDOS,25,2030,180,18,4500,0.9566666666666667,0.19313818386716347,0.3544489514068529,0.6718124245345205,3.5085603682421516,1.0866666666666667,0.08666666666666667,6.39,0.010375835001468658,859.8515555555556,92.36666666666666,0.8599537037037037,0.96875,0.997134670487106
Single Domain,25,2030,180,18,4500,0.46644444444444444,0.930353536006616,3.066458975585845,26.553230236445174,479.5316474484259,1.0,0.0,1.0,0.0016092157198323144,0.0,0.0,0.09027777777777778,0.4799107142857143,0.6776504297994269
Independent Agents,25,2030,180,18,4500,0.7097777777777777,0.2931485818737906,0.4744968135892897,5.101967007924954,112.6097690869647,1.0,0.0,4.0,0.007744714617729187,0.0,0.0,0.09606481481481481,0.7660714285714286,0.9992836676217765
One-Shot LLM,25,2030,180,18,4500,0.5491111111111111,2.1083677064767534,13.019110005875246,10.023760409967181,205.13954877237666,1.0,0.0,0.0,0.018671315680775378,760.0,135.0,0.20601851851851852,0.5803571428571429,0.7113180515759312
AAI-CDOS,25,2031,180,68,4500,0.9826666666666667,0.15304130782745576,0.2706306256631051,0.3312017188893753,2.516771491831109,1.0346666666666666,0.034666666666666665,6.156,0.010054409607417054,851.0115555555556,87.94666666666667,0.936542669584245,0.9925340360122968,0.9977081741787625
Single Domain,25,2031,180,68,4500,0.3211111111111111,1.4151483090333552,4.189245899896393,62.645811581820986,1166.1546111229252,1.0,0.0,1.0,0.0016237771552469996,0.0,0.0,0.0886214442013129,0.3025911286780852,0.5156608097784569
Independent Agents,25,2031,180,68,4500,0.7591111111111111,0.2719199643356016,0.39969594919113177,3.83490018733613,93.7900653581819,1.0,0.0,4.0,0.007694309887786706,0.0,0.0,0.10393873085339168,0.8836187966622749,1.0
One-Shot LLM,25,2031,180,68,4500,0.6442222222222223,1.5762533016732552,12.25783254038054,6.504369679189371,142.3783492549899,1.0,0.0,0.0,0.01859733100152678,760.0,135.0,0.3161925601750547,0.7035573122529645,0.7700534759358288
AAI-CDOS,25,2032,180,38,4500,0.9675555555555555,0.18000078932759125,0.3340717907051338,0.5236291925895064,3.1242564350336246,1.0655555555555556,0.06555555555555556,6.295333333333334,0.010238286211258836,856.2626666666666,90.57222222222222,0.9041850220264317,0.9744493392070485,0.9992435703479576
Single Domain,25,2032,180,38,4500,0.4033333333333333,1.0943408759235038,3.5537683330509813,40.37246183416162,735.7488414420895,1.0,0.0,1.0,0.001598132877714104,0.0,0.0,0.07929515418502203,0.392511013215859,0.6444780635400907
Independent Agents,25,2032,180,38,4500,0.6935555555555556,0.2931389129040006,0.4625330911964922,5.174799170125144,113.88648563985276,1.0,0.0,4.0,0.007680750865903165,0.0,0.0,0.0605726872246696,0.7682819383259912,1.0
One-Shot LLM,25,2032,180,38,4500,0.5911111111111111,1.6272983464613906,11.870956302449729,8.036771951597931,174.63955347637136,1.0,0.0,0.0,0.018562131768299475,760.0,135.0,0.20814977973568283,0.6334801762114537,0.7813918305597579
AAI-CDOS,25,2033,180,199,4500,0.9708888888888889,0.1704789490420895,0.3109749864304498,0.505106757504823,2.7857765551270925,1.0584444444444445,0.058444444444444445,6.263111111111111,0.010275141025582949,855.0537777777778,89.96777777777778,0.8984198645598194,0.9821109123434705,0.9992743105950653
Single Domain,25,2033,180,199,4500,0.3791111111111111,1.1870206108474965,3.6113327875572603,31.286896983479576,469.73627939680205,1.0,0.0,1.0,0.0016399417072534561,0.0,0.0,0.09706546275395034,0.3644901610017889,0.5841799709724238
Independent Agents,25,2033,180,199,4500,0.7364444444444445,0.2796784282588463,0.4371339431596396,4.3415785144074635,107.65096780361027,1.0,0.0,4.0,0.007769564787546794,0.0,0.0,0.08690744920993228,0.8313953488372093,1.0
One-Shot LLM,25,2033,180,199,4500,0.6331111111111111,1.5885395798727142,12.084887309636114,7.252678339032771,148.25911089538204,1.0,0.0,0.0,0.01866765372041199,760.0,135.0,0.2708803611738149,0.6806797853309481,0.7888243831640058
AAI-CDOS,25,2034,180,67,4500,0.9704444444444444,0.1658289345794245,0.29611756306372505,0.5149758784660703,2.600389663549684,1.0597777777777777,0.05977777777777778,6.269333333333333,0.010259096407228045,855.2804444444445,90.08111111111111,0.9064449064449065,0.9812416257257704,0.9992301770592764
Single Domain,25,2034,180,67,4500,0.37444444444444447,1.1695299394201368,3.4903208381168636,37.30662669120362,669.1568011386656,1.0,0.0,1.0,0.0016400803708367879,0.0,0.0,0.10395010395010396,0.36578829834747656,0.5896843725943033
Independent Agents,25,2034,180,67,4500,0.7315555555555555,0.27635250370147735,0.4103475853221778,4.350381254469254,102.54445935940144,1.0,0.0,4.0,0.00774151086807251,0.0,0.0,0.09043659043659044,0.8512728896828942,1.0
One-Shot LLM,25,2034,180,67,4500,0.6651111111111111,1.3077795474513032,11.3399269687437,6.04633149551625,145.85480773252525,1.0,0.0,0.0,0.018677694205608632,760.0,135.0,0.33264033264033266,0.7110317105850826,0.8321785989222479
AAI-CDOS,25,2035,180,87,4500,0.9748888888888889,0.16115510754384377,0.29966497370909384,0.4399972424664247,2.4646975819573282,1.0504444444444445,0.050444444444444445,6.227111111111111,0.01027340597162644,853.6937777777778,89.28777777777778,0.9162303664921466,0.9855399909624943,0.9992492492492493
Single Domain,25,2035,180,87,4500,0.3228888888888889,1.3619297107538548,3.697424720289596,57.67522801892306,1001.2351058733337,1.0,0.0,1.0,0.001652810929550065,0.0,0.0,0.09109947643979058,0.30953456845910526,0.5112612612612613
Independent Agents,25,2035,180,87,4500,0.7344444444444445,0.27677264103094595,0.41728281301398373,4.112652337160809,99.62835832189508,1.0,0.0,4.0,0.007776771982510884,0.0,0.0,0.10157068062827225,0.8477180298237686,1.0
One-Shot LLM,25,2035,180,87,4500,0.6491111111111111,1.4872314904191661,11.74515389666382,6.498522050218152,129.73926287505267,1.0,0.0,0.0,0.01853871676656935,760.0,135.0,0.31204188481675393,0.6963398102123813,0.8123123123123123
AAI-CDOS,25,2036,180,20,4500,0.9662222222222222,0.17517239284575786,0.3218013190834385,0.5420559591792398,3.192551447606959,1.068,0.068,6.306222222222222,0.010296640814178519,856.6782222222222,90.78,0.8885383806519453,0.9798811156835848,0.9985315712187959
Single Domain,25,2036,180,20,4500,0.37266666666666665,1.1760807490631968,3.550816647555324,42.340112871340516,784.1958475822922,1.0,0.0,1.0,0.0016274665378861958,0.0,0.0,0.0946372239747634,0.35893918609967995,0.5888399412628488
Independent Agents,25,2036,180,20,4500,0.7228888888888889,0.282045158022262,0.42478508132359527,4.490626596100103,115.07416788294125,1.0,0.0,4.0,0.0077968718897965215,0.0,0.0,0.07045215562565721,0.8340192043895748,1.0
One-Shot LLM,25,2036,180,20,4500,0.6228888888888889,1.4100788897719356,11.643093410203479,7.264488444502756,158.4743926907938,1.0,0.0,0.0,0.018613650567001767,760.0,135.0,0.24395373291272346,0.6780978509373571,0.7988252569750367
AAI-CDOS,25,2037,180,197,4500,0.98,0.1578611687670727,0.28640680701954563,0.3764528492820513,2.513304689058468,1.04,0.04,6.18,0.010089003584451146,851.9182222222222,88.4,0.9383259911894273,0.9856823266219239,0.9985261606484893
Single Domain,25,2037,180,197,4500,0.35844444444444445,1.3187024466914181,3.70487016399954,40.01738624335368,651.7209588133411,1.0,0.0,1.0,0.0016494830035501057,0.0,0.0,0.10572687224669604,0.3436241610738255,0.5519528371407516
Independent Agents,25,2037,180,197,4500,0.7553333333333333,0.26807495032796014,0.4058801984463623,3.860860432803771,102.51932088658393,1.0,0.0,4.0,0.007738351511458556,0.0,0.0,0.08480176211453745,0.8796420581655481,0.9992630803242447
One-Shot LLM,25,2037,180,197,4500,0.6857777777777778,1.2913921943395876,11.357686393378058,5.744748376165445,125.34846207021111,1.0,0.0,0.0,0.018537702970206738,760.0,135.0,0.355726872246696,0.7302013422818792,0.8334561532792926
AAI-CDOS,25,2038,180,136,4500,0.9826666666666667,0.14832741515319767,0.26661064992698824,0.33340163051639665,2.3305447269606465,1.034888888888889,0.034888888888888886,6.157111111111111,0.010117992758750916,851.0493333333334,87.96555555555555,0.9375684556407448,0.9906166219839142,1.0
Single Domain,25,2038,180,136,4500,0.31155555555555553,1.5161440021480688,4.383358576497021,54.14062407726315,945.815327889284,1.0,0.0,1.0,0.0016582627884215778,0.0,0.0,0.0963855421686747,0.2957998212689902,0.48332097850259453
Independent Agents,25,2038,180,136,4500,0.7684444444444445,0.2647655208588952,0.385227396097562,3.5955541924324663,95.21180147165146,1.0,0.0,4.0,0.007836292911734846,0.0,0.0,0.09419496166484119,0.9039320822162645,1.0
One-Shot LLM,25,2038,180,136,4500,0.6748888888888889,1.3897563215633082,11.47231764012912,5.988175536813234,136.78112527813187,1.0,0.0,0.0,0.018665953332351312,760.0,135.0,0.37897042716319823,0.7234137622877569,0.7946627131208303
AAI-CDOS,25,2039,180,236,4500,0.9726666666666667,0.1731895996747566,0.3165928257676914,0.47556261493298513,2.8137639709862965,1.055111111111111,0.05511111111111111,6.248222222222222,0.01020979674326049,854.4871111111111,89.68444444444444,0.9144811858608894,0.9791485664639444,1.0
Single Domain,25,2039,180,236,4500,0.3884444444444444,1.1008250395230115,3.396083495412424,46.22138836764618,820.8776641620668,1.0,0.0,1.0,0.001619020373457008,0.0,0.0,0.09692132269099202,0.365768896611642,0.6214988644965935
Independent Agents,25,2039,180,236,4500,0.7313333333333333,0.2824930202710455,0.44070696097921636,4.621213451413101,115.25727141128712,1.0,0.0,4.0,0.0077536983622445,0.0,0.0,0.10832383124287344,0.814509122502172,1.0
One-Shot LLM,25,2039,180,236,4500,0.6286666666666667,1.5419266924686679,11.984762920036939,7.419761843517759,164.55293280409995,1.0,0.0,0.0,0.018512028683390882,760.0,135.0,0.2394526795895097,0.684622067767159,0.789553368660106
AAI-CDOS,25,2040,180,81,4500,0.982,0.15583514697381,0.2908375032761565,0.34875440008908276,2.3181945128839634,1.0366666666666666,0.03666666666666667,6.165333333333334,0.010180550316969553,851.3515555555556,88.11666666666666,0.9496644295302014,0.984119982355536,1.0
Single Domain,25,2040,180,81,4500,0.32555555555555554,1.4426696968533714,3.992568944301813,45.87632499290992,701.721934332809,1.0,0.0,1.0,0.001645441891418563,0.0,0.0,0.09619686800894854,0.30569033965593295,0.5123226288274833
Independent Agents,25,2040,180,81,4500,0.7531111111111111,0.2733052965908229,0.40448177399406277,3.8087448636782564,95.41050220124883,1.0,0.0,4.0,0.007748139711717765,0.0,0.0,0.08277404921700224,0.8716365240405822,1.0
One-Shot LLM,25,2040,180,81,4500,0.6926666666666667,1.3487130942762295,11.955843894656722,5.5116044389705054,129.02247619163404,1.0,0.0,0.0,0.018706419298218355,760.0,135.0,0.3434004474272931,0.7406263784737539,0.8446601941747572
AAI-CDOS,25,2041,180,99,4500,0.9728888888888889,0.16411994955291628,0.3003224919744247,0.4641316393321683,2.68767084154868,1.0542222222222222,0.05422222222222222,6.244,0.010175182277129756,854.336,89.60888888888888,0.9106945975744212,0.9816882536846807,1.0
Single Domain,25,2041,180,99,4500,0.37466666666666665,1.2439962561201063,3.690022330500617,34.9628276836873,467.69963376365473,1.0,0.0,1.0,0.0016348564790354834,0.0,0.0,0.0926130099228225,0.3648950424296561,0.5797636632200887
Independent Agents,25,2041,180,99,4500,0.7462222222222222,0.27762678831678994,0.41968979809468154,3.9963793214698824,100.1325492482417,1.0,0.0,4.0,0.007743089045915339,0.0,0.0,0.10363836824696802,0.8530594015185351,1.0
One-Shot LLM,25,2041,180,99,4500,0.6433333333333333,1.49330530961697,11.381298637083765,6.397362644586211,136.04402961825375,1.0,0.0,0.0,0.018637413883374795,760.0,135.0,0.30099228224917307,0.699866011612327,0.7791728212703102
AAI-CDOS,25,2042,180,6,4500,0.9726666666666667,0.1734504330397562,0.31066108672955933,0.4853847447728462,2.848227945932785,1.054888888888889,0.05488888888888889,6.247111111111111,0.010185858959125148,854.4493333333334,89.66555555555556,0.9161947904869762,0.9787704555506413,0.9992625368731564
Single Domain,25,2042,180,6,4500,0.43622222222222223,0.9497672763299353,2.9302177400222487,28.541531740293532,528.5452438199671,1.0,0.0,1.0,0.0016203155327174398,0.0,0.0,0.09626274065685164,0.42149491375497566,0.6821533923303835
Independent Agents,25,2042,180,6,4500,0.7353333333333333,0.27888286427980696,0.4265050307913464,4.28505943222793,106.82545911218382,1.0,0.0,4.0,0.0078005629281202955,0.0,0.0,0.08720271800679502,0.8297213622291022,1.0
One-Shot LLM,25,2042,180,6,4500,0.6237777777777778,1.578618319592899,12.135406253734757,7.618685616930418,160.48571345165664,1.0,0.0,0.0,0.01859937318497234,760.0,135.0,0.2808607021517554,0.6691729323308271,0.7713864306784661
AAI-CDOS,25,2043,180,19,4500,0.974,0.16849497066794994,0.30520549185493895,0.4525543810690585,2.6165557691997905,1.0522222222222222,0.052222222222222225,6.235111111111111,0.010232304222881794,853.996,89.43888888888888,0.9136612021857924,0.983739837398374,0.9985412107950401
Single Domain,25,2043,180,19,4500,0.3873333333333333,1.2205642648635961,3.6596817088401994,33.93250839119868,592.101869173939,1.0,0.0,1.0,0.0016307220276859072,0.0,0.0,0.08633879781420765,0.38708220415537486,0.5886214442013129
Independent Agents,25,2043,180,19,4500,0.7173333333333334,0.2844941565144294,0.4331294282978201,4.8400965489783925,103.004953661894,1.0,0.0,4.0,0.007756595085892413,0.0,0.0,0.09398907103825137,0.8003613369467028,0.9992706053975201
One-Shot LLM,25,2043,180,19,4500,0.6011111111111112,1.8159957927434427,12.076203425187844,7.983128524008653,159.60843497677646,1.0,0.0,0.0,0.01852171143723859,760.0,135.0,0.273224043715847,0.6485998193315267,0.7432530999270606
AAI-CDOS,25,2044,180,47,4500,0.9702222222222222,0.17443855290891747,0.31982233307617247,0.5088959922137671,3.078679737553426,1.0597777777777777,0.05977777777777778,6.269111111111111,0.010228830803599622,855.2804444444445,90.08111111111111,0.9015837104072398,0.9812248547161377,0.9963741841914431
Single Domain,25,2044,180,47,4500,0.40644444444444444,1.1467690738725231,3.615348123394459,35.7571040628699,598.214942607175,1.0,0.0,1.0,0.0016321665089991358,0.0,0.0,0.083710407239819,0.4045596781403666,0.6163886874546773
Independent Agents,25,2044,180,47,4500,0.7211111111111111,0.28748914591482794,0.45714210226432805,4.402801142357142,119.8758041450409,1.0,0.0,4.0,0.00773587233076493,0.0,0.0,0.08484162895927602,0.8010728654447922,0.9992748368382887
One-Shot LLM,25,2044,180,47,4500,0.6097777777777778,1.6684356372633073,12.225351863513518,7.372954907406299,162.85759740091987,1.0,0.0,0.0,0.018663955231507618,760.0,135.0,0.2647058823529412,0.6472954850245864,0.7701232777374909
AAI-CDOS,25,2045,180,136,4500,0.9873333333333333,0.1466577261763844,0.2678254268179296,0.28016366741576487,2.2438908250464764,1.0253333333333334,0.025333333333333333,6.114,0.010070208253131973,849.4248888888889,87.15333333333334,0.9566831683168316,0.9907854322071084,0.9992922859164898
Single Domain,25,2045,180,136,4500,0.30955555555555553,1.4841894787030043,3.9730373549799403,42.28045723480488,609.1301285444958,1.0,0.0,1.0,0.0016491595241758558,0.0,0.0,0.09405940594059406,0.2711715664765248,0.49469214437367304
Independent Agents,25,2045,180,136,4500,0.7848888888888889,0.2669568693592067,0.3884298383902967,3.2949709646245333,78.45713203166977,1.0,0.0,4.0,0.007715689949691296,0.0,0.0,0.07797029702970297,0.9021500658183413,1.0
One-Shot LLM,25,2045,180,136,4500,0.6842222222222222,1.4442606190074023,11.556062186011324,5.828216484355487,126.7208552745635,1.0,0.0,0.0,0.018593598157167435,760.0,135.0,0.375,0.7152259763053971,0.8110403397027601
AAI-CDOS,25,2046,180,125,4500,0.984,0.14451247692180327,0.2615697854744521,0.3059528208185997,2.2368248464951126,1.0324444444444445,0.03244444444444444,6.146222222222222,0.010055021486348577,850.6337777777778,87.75777777777778,0.9403973509933775,0.9919137466307277,1.0
Single Domain,25,2046,180,125,4500,0.29977777777777775,1.4598180266456762,3.9565864883428703,60.756434613907125,1160.0552446277968,1.0,0.0,1.0,0.0016498622587985462,0.0,0.0,0.10264900662251655,0.25965858041329737,0.4956140350877193
Independent Agents,25,2046,180,125,4500,0.7733333333333333,0.2638541570266335,0.3877910011824126,3.4309277056997365,92.65892427602357,1.0,0.0,4.0,0.007710161722368664,0.0,0.0,0.10927152317880795,0.9043126684636119,1.0
One-Shot LLM,25,2046,180,125,4500,0.6693333333333333,1.5247034516433642,11.790312625023722,6.263802866814804,145.69282675673196,1.0,0.0,0.0,0.01860556886014011,760.0,135.0,0.39514348785871967,0.7151841868823001,0.7763157894736842
AAI-CDOS,25,2047,180,225,4500,0.9746666666666667,0.16663714705171284,0.3039767347259252,0.4576225415531954,2.6448056153868875,1.0513333333333332,0.051333333333333335,6.231333333333334,0.010172946999470392,853.8448888888889,89.36333333333333,0.9096916299559471,0.9865047233468286,0.9985390796201608
Single Domain,25,2047,180,225,4500,0.37355555555555553,1.2833476205775058,3.728769390569901,41.44221419553562,732.1712393005141,1.0,0.0,1.0,0.0016194862417048877,0.0,0.0,0.10572687224669604,0.3729194781826361,0.5522279035792549
Independent Agents,25,2047,180,225,4500,0.74,0.2789928814510321,0.43339742015520527,4.239711660936413,104.34235902065521,1.0,0.0,4.0,0.007744435945318805,0.0,0.0,0.10572687224669604,0.8394062078272605,0.9992695398100804
One-Shot LLM,25,2047,180,225,4500,0.6244444444444445,1.480558069423184,12.012246393164094,7.6072394001816654,148.26573968249568,1.0,0.0,0.0,0.018609708382023707,760.0,135.0,0.28634361233480177,0.6612685560053981,0.7888970051132214
AAI-CDOS,25,2048,180,105,4500,0.9793333333333333,0.15917344374079748,0.2857895033907383,0.3861306837373287,2.5746743253881808,1.0417777777777777,0.041777777777777775,6.1882222222222225,0.010137043272455534,852.2204444444444,88.55111111111111,0.9308390022675737,0.9864743011722272,0.9985714285714286
Single Domain,25,2048,180,105,4500,0.3473333333333333,1.3091089485669267,3.6932299062124514,37.534834334423344,629.0904619343072,1.0,0.0,1.0,0.0016317147140701611,0.0,0.0,0.10430839002267574,0.3358881875563571,0.5185714285714286
Independent Agents,25,2048,180,105,4500,0.7491111111111111,0.2753528969840627,0.40681434470152533,3.963805455956698,96.66266339173632,1.0,0.0,4.0,0.007722843852308061,0.0,0.0,0.09070294784580499,0.8525698827772769,1.0
One-Shot LLM,25,2048,180,105,4500,0.6724444444444444,1.2934860388261598,10.928089282292772,5.9793780225047115,132.8559691775932,1.0,0.0,0.0,0.018616821099486616,760.0,135.0,0.3310657596371882,0.7105500450856628,0.8271428571428572
AAI-CDOS,25,2049,180,221,4500,0.9706666666666667,0.17418586669364802,0.3225807204854017,0.4891094356868618,3.0439801439486893,1.0586666666666666,0.058666666666666666,6.264,0.010236749425530434,855.0915555555556,89.98666666666666,0.9182795698924732,0.975465697410268,0.9985390796201608
Single Domain,25,2049,180,221,4500,0.4022222222222222,1.1712798327982619,3.67703398038428,41.836070973406954,914.7784462224772,1.0,0.0,1.0,0.0016030237699548404,0.0,0.0,0.08279569892473118,0.408905043162199,0.6084733382030679
Independent Agents,25,2049,180,221,4500,0.7213333333333334,0.2829608941306066,0.4511955912326864,4.60676415130777,127.2078089308168,1.0,0.0,4.0,0.007751076689196957,0.0,0.0,0.08602150537634409,0.8164470695138574,1.0
One-Shot LLM,25,2049,180,221,4500,0.5697777777777778,2.075984484089002,12.838243208644133,8.634332849118211,222.6867700064172,1.0,0.0,0.0,0.018658972655733425,760.0,135.0,0.26021505376344084,0.6056338028169014,0.7224251278305333
AAI-CDOS,25,2050,180,98,4500,0.9811111111111112,0.15513359701940913,0.276992800571222,0.3555139070048586,2.3280168739319445,1.0377777777777777,0.03777777777777778,6.17,0.010065328122840988,851.5404444444445,88.21111111111111,0.9361471861471862,0.9880514705882353,1.0
Single Domain,25,2050,180,98,4500,0.34244444444444444,1.3228061541215412,3.7158553837674613,54.65755077038709,1081.5463489717856,1.0,0.0,1.0,0.0016377349901530477,0.0,0.0,0.10281385281385282,0.31433823529411764,0.5442857142857143
Independent Agents,25,2050,180,98,4500,0.7633333333333333,0.27048239490226506,0.3994810231160877,3.6230430963638147,89.98253194741157,1.0,0.0,4.0,0.007718658385177453,0.0,0.0,0.09740259740259741,0.8938419117647058,1.0
One-Shot LLM,25,2050,180,98,4500,0.6424444444444445,1.660783676232868,12.142174185237577,6.786597948365703,131.24296878212056,1.0,0.0,0.0,0.018653288173178833,760.0,135.0,0.3354978354978355,0.6815257352941176,0.7842857142857143
AAI-CDOS,25,2051,180,71,4500,0.9717777777777777,0.16578922380156388,0.30868740211463847,0.4851537129166414,2.682636836732852,1.0564444444444445,0.05644444444444444,6.254,0.010262203299336962,854.7137777777778,89.79777777777778,0.9039913700107874,0.9828751689950428,1.0
