agent_role,calls,mean_input_tokens,mean_output_tokens,mean_api_latency_ms,p95_api_latency_ms
oran,30,267.3,19.5,1401.5367194234084,2797.6409410359333
cn,30,470.3666666666667,21.066666666666666,1339.6267987477283,3275.9398645022843
compute,30,249.0,20.933333333333334,1151.4338129355262,1863.0632794927794
e2e,36,782.2777777777778,28.11111111111111,1424.9773532824797,2161.9042318779975
one_shot,30,659.4666666666667,28.0,1466.1651395106067,2641.7313772719353
